name,encounters,winRate,deathRate,averageDamageTaken,averageTurns,negativeFeedback
巨力石魔,116,0.7758620689655172,0.22413793103448276,38.293103448275865,4.767241379310345,26
【深渊主宰】,160,0.81875,0.18125,44.96875,9.3875,24
缝合巨怪,103,0.8737864077669902,0.1262135922330097,23.07766990291262,4.543689320388349,12
【首领】鬼面修罗,154,0.8831168831168831,0.11688311688311688,41.29220779220779,6.305194805194805,18
【精英】猩红血巫,802,0.9314214463840399,0.0685785536159601,26.973815461346632,7.8192019950124685,43
【精英】不死骨龙,381,0.931758530183727,0.06824146981627296,31.711286089238847,5.364829396325459,26
魅影刺客,114,0.9385964912280702,0.06140350877192982,20.605263157894736,3.456140350877193,7
暴躁野猪,149,0.9530201342281879,0.04697986577181208,18.74496644295302,2.9194630872483223,7
幽冥法师,108,0.9722222222222222,0.027777777777777776,15.824074074074074,4.2407407407407405,3
【精英】狂暴牛头人,856,0.9813084112149533,0.018691588785046728,21.739485981308412,4.566588785046729,16
千载魔蛛,135,0.9925925925925926,0.007407407407407408,2.7185185185185183,2.9407407407407407,1
铁甲巨蟹,157,1,0,3.949044585987261,3.229299363057325,0
剧毒蟾蜍,139,1,0,7.920863309352518,3.143884892086331,0
枯骨煞兵,131,1,0,0.5038167938931297,2.0916030534351147,0
迷途妖狐,128,1,0,1.15625,2.15625,0
荒野煞狼,125,1,0,3.056,2.536,0
病弱史莱姆,116,1,0,0.3879310344827586,1.4913793103448276,0
贪婪盗贼,113,1,0,1.4690265486725664,1.592920353982301,0
堕落剑客,112,1,0,19.4375,4.026785714285714,0
嗜血蝙蝠,111,1,0,0.34234234234234234,1.4504504504504505,0
