id,name,obtained,averageFloor,winRateAfterObtain,triggerCount,triggerPerRun,averageBenefit,playerRating
r_pass_draw,职业秘卷,98,11.16326530612245,0.6632653061224489,2991,30.520408163265305,122.08163265306122,4.07775510204081
r_boss_slayer,弑王刻印,95,11.91578947368421,0.6736842105263158,696,7.326315789473684,40.680421052631566,4.1158947368421
r_gray_market_map,灰市地图,88,11.806818181818182,0.7386363636363636,323,3.6704545454545454,13.897727272727273,4.141363636363631
r_first_draw,启程星图,88,11.306818181818182,0.6818181818181818,2686,30.522727272727273,122.0909090909091,4.1392045454545405
r_combo,流转沙漏,80,11.6125,0.8,300,3.75,14.4,4.219499999999995
r_base_energy,源能核心,79,11.50632911392405,0.6835443037974683,296,3.7468354430379747,14.037974683544304,4.139873417721514
r_silver_purse,银纹钱袋,79,11.873417721518987,0.7721518987341772,298,3.7721518987341773,14.405063291139241,4.260379746835438
r_elite_hunter,猎英徽记,78,9.871794871794872,0.6923076923076923,2464,31.58974358974359,112.93230769230783,4.13410256410256
r_campfire_pouch,营火锦囊,73,9.753424657534246,0.5753424657534246,309,4.232876712328767,15.657534246575343,3.931643835616435
r_shield,古誓护印,73,10.04109589041096,0.6986301369863014,813,11.136986301369863,28.589041095890412,4.129452054794516
r_copy_seal,复写印泥,67,10.402985074626866,0.7313432835820896,277,4.134328358208955,15.73134328358209,4.1110447761194
r_battle_whetstone,磨锋砥石,64,9.140625,0.71875,315,4.921875,18.84375,4.104843749999997
r_reward_crown,弃赏王冠,63,9.80952380952381,0.7142857142857143,317,5.031746031746032,19.26984126984127,4.163809523809522
r_skill_cost,秘仪教本,61,11.918032786885245,0.6885245901639344,213,3.4918032786885247,13.032786885245901,4.1829508196721275
r_bone_ring,誓约骨环,57,9.403508771929825,0.7192982456140351,299,5.245614035087719,20.140350877192983,4.128596491228067
r_wind_quiver,踏风箭囊,53,8.358490566037736,0.6415094339622641,295,5.566037735849057,21.18867924528302,3.9866037735849034
r_execute_scabbard,断罪剑鞘,52,10.23076923076923,0.8269230769230769,259,4.980769230769231,19.403846153846153,4.189038461538458
r_bleed_knife,猎痕短刃,52,6.8076923076923075,0.5192307692307693,1765,33.94230769230769,169.71153846153845,3.936153846153845
r_bloodlet_draw,赤脉弦扣,51,8.72549019607843,0.45098039215686275,1974,38.705882352941174,154.8235294117647,3.831176470588234
r_sword_oath,圣剑誓印,50,9.72,0.88,258,5.16,20.28,4.150199999999998
r_thorn_shield_new,蔷薇重盾,50,11.14,0.84,701,14.02,20.8,4.143399999999998
r_lifedebt_scale,命债天平,50,9.58,0.88,263,5.26,20.68,4.170799999999997
r_burst_lens,聚爆透镜,50,7.96,0.6,262,5.24,19.76,4.159999999999998
r_multishot_fletching,分羽箭尾,50,8,0.58,258,5.16,19.38,3.9147999999999983
r_poison_fang,森蚀箭簇,50,7.26,0.52,1575,31.5,157.5,3.9109999999999987
r_echo_mirror_relic,秘仪魔镜,49,9.877551020408163,0.7346938775510204,189,3.857142857142857,14.63265306122449,4.199591836734691
r_exhaust_dmg,狩影烬坠,49,8.46938775510204,0.673469387755102,1608,32.816326530612244,164.08163265306123,4.139999999999999
r_exile_cache,流亡箭匣,48,9.208333333333334,0.75,258,5.375,20.75,4.171249999999998
r_pierce_amulet,裂甲剑坠,47,9.702127659574469,0.6382978723404256,219,4.659574468085107,17.5531914893617,4.049361702127658
r_protect_armor,圣壁石甲,46,11.08695652173913,0.9130434782608695,676,14.695652173913043,16.32608695652174,4.232173913043477
r_blood_suture,赤线缝针,46,10.021739130434783,0.8478260869565217,228,4.956521739130435,19.369565217391305,4.159130434782607
r_double_quill,双墨羽笔,45,7.977777777777778,0.6888888888888889,1253,27.844444444444445,111.37777777777778,4.225999999999998
r_rupture_charm,裂口护符,44,8.681818181818182,0.7272727272727273,229,5.204545454545454,20,3.9386363636363626
r_heavy_badge,重锋徽记,43,8.604651162790697,0.6976744186046512,226,5.255813953488372,20.11627906976744,4.0337209302325565
r_plague_glass,疫光玻片,43,8.348837209302326,0.5348837209302325,210,4.883720930232558,18.13953488372093,4.096046511627907
r_warm_pendant,余烬护符,41,9.365853658536585,0.7804878048780488,208,5.073170731707317,19.634146341463413,4.159024390243902
r_chant_reservoir,蓄咏水晶,41,8.951219512195122,0.7073170731707317,198,4.829268292682927,18.4390243902439,4.2575609756097545
r_tailwind_spool,顺风线轴,41,8.829268292682928,0.7317073170731707,2249,54.853658536585364,219.41463414634146,4.058780487804877
r_return_knife,回风刀鞘,40,9.625,0.725,1190,29.75,148.75,4.11375
r_long_decay,长驻猎痕,39,12.538461538461538,0.7692307692307693,141,3.6153846153846154,13.76923076923077,4.16025641025641
r_thorn_bloom,棘辉冠冕,37,11.297297297297296,0.8918918918918919,157,4.243243243243243,16.64864864864865,4.110270270270271
r_oath_transfusion,誓血导管,36,10.5,0.6388888888888888,157,4.361111111111111,16.36111111111111,3.909166666666667
r_sac_jade,咏唱玉坠,36,9.444444444444445,0.75,159,4.416666666666667,16.916666666666668,4.332777777777777
r_blood,血池圣印,34,11.676470588235293,0.7941176470588235,125,3.676470588235294,14.088235294117647,4.065588235294118
r_perma_curse,永续法印,34,11.176470588235293,0.5588235294117647,117,3.4411764705882355,12.441176470588236,4.092941176470589
r_counter_gate,招架门徽,33,12.696969696969697,0.8181818181818182,126,3.8181818181818183,14.727272727272727,4.10969696969697
r_def_cost,圣盾甲片,33,12.272727272727273,0.7878787878787878,123,3.727272727272727,14.272727272727273,4.104242424242425
r_life_totem,守誓图腾,33,8.878787878787879,0.6666666666666666,163,4.9393939393939394,18.757575757575758,3.9212121212121223
r_status_prism,星蚀棱镜,33,11.06060606060606,0.696969696969697,124,3.757575757575758,14.121212121212121,4.28848484848485
r_overheal,圣疗溢光,32,10.875,0.78125,128,4,15.34375,4.083750000000001
r_hex_incense,咒雾香,32,8.4375,0.4375,136,4.25,15.3125,3.9496875000000014
r_execute,猎首时刻,32,10.78125,0.5625,128,4,14.6875,3.9378125000000015
r_pass_thorns,圣棘花冠,31,11.935483870967742,0.8387096774193549,124,4,15.516129032258064,4.137741935483873
r_status_ledger,异状账簿,31,10.35483870967742,0.4838709677419355,114,3.6774193548387095,13.161290322580646,4.030967741935485
r_echo_archive_pin,回声书签,30,7.4,0.7666666666666667,165,5.5,21.3,4.274000000000001
r_combo_warrant,连斩密令,28,10.571428571428571,0.75,137,4.892857142857143,18.821428571428573,4.087142857142859
r_scarlet_whet,猩红砥石,28,8.464285714285714,0.75,147,5.25,20.25,4.066785714285715
r_pierce,破甲箭锋,28,11.678571428571429,0.6071428571428571,101,3.607142857142857,13.25,3.9853571428571444
r_yin_yang,星轨命盘,27,10.481481481481481,0.5925925925925926,104,3.8518518518518516,14.185185185185185,4.026666666666667
r_return_bleed,赤痕归羽,27,8.74074074074074,0.7037037037037037,967,35.81481481481482,179.07407407407408,4.030740740740742
r_return_poison,青毒归羽,27,9.74074074074074,0.7037037037037037,930,34.44444444444444,172.22222222222223,4.143333333333334
r_brutal,余烬回响,26,10.423076923076923,0.5,84,3.230769230769231,11.423076923076923,3.9442307692307703
r_chant_ink,恒咏墨瓶,25,10.8,0.56,82,3.28,11.8,4.115200000000001
r_frenzy,连祷狂热,25,11.12,0.6,93,3.72,13.68,4.203200000000001
